IDInteractorA,IDInteractorB
entrez gene/locuslink:176328,entrez gene/locuslink:178042
entrez gene/locuslink:176328,entrez gene/locuslink:175801
entrez gene/locuslink:176328,entrez gene/locuslink:172253
entrez gene/locuslink:176328,entrez gene/locuslink:179971
entrez gene/locuslink:176328,entrez gene/locuslink:175098
entrez gene/locuslink:176328,entrez gene/locuslink:172219
entrez gene/locuslink:176328,entrez gene/locuslink:178064
entrez gene/locuslink:176328,entrez gene/locuslink:179275
entrez gene/locuslink:176328,entrez gene/locuslink:190025
entrez gene/locuslink:176331,entrez gene/locuslink:176054
entrez gene/locuslink:182010,entrez gene/locuslink:177342
entrez gene/locuslink:182010,entrez gene/locuslink:172597
entrez gene/locuslink:182010,entrez gene/locuslink:177440
entrez gene/locuslink:182010,entrez gene/locuslink:174662
entrez gene/locuslink:179256,entrez gene/locuslink:174236
entrez gene/locuslink:179256,entrez gene/locuslink:172195
entrez gene/locuslink:179256,entrez gene/locuslink:174371
entrez gene/locuslink:179256,entrez gene/locuslink:172335
entrez gene/locuslink:179256,entrez gene/locuslink:173846
entrez gene/locuslink:179256,entrez gene/locuslink:178615
entrez gene/locuslink:179256,entrez gene/locuslink:178362
entrez gene/locuslink:179256,entrez gene/locuslink:180264
entrez gene/locuslink:179256,entrez gene/locuslink:189773
entrez gene/locuslink:178353,entrez gene/locuslink:172308
entrez gene/locuslink:177427,entrez gene/locuslink:188577
entrez gene/locuslink:177429,entrez gene/locuslink:187543
entrez gene/locuslink:177429,entrez gene/locuslink:187804
entrez gene/locuslink:177431,entrez gene/locuslink:182211
entrez gene/locuslink:177431,entrez gene/locuslink:192006
entrez gene/locuslink:177431,entrez gene/locuslink:176149
entrez gene/locuslink:177431,entrez gene/locuslink:182619
entrez gene/locuslink:177431,entrez gene/locuslink:172768
entrez gene/locuslink:177431,entrez gene/locuslink:180735
entrez gene/locuslink:177431,entrez gene/locuslink:183755
entrez gene/locuslink:177431,entrez gene/locuslink:185800
entrez gene/locuslink:177431,entrez gene/locuslink:185827
entrez gene/locuslink:177431,entrez gene/locuslink:175696
entrez gene/locuslink:177431,entrez gene/locuslink:186563
entrez gene/locuslink:177431,entrez gene/locuslink:186872
entrez gene/locuslink:177431,entrez gene/locuslink:173496
entrez gene/locuslink:177431,entrez gene/locuslink:177162
entrez gene/locuslink:177431,entrez gene/locuslink:180852
entrez gene/locuslink:177431,entrez gene/locuslink:189281
entrez gene/locuslink:177431,entrez gene/locuslink:173436
entrez gene/locuslink:177431,entrez gene/locuslink:180324
entrez gene/locuslink:177431,entrez gene/locuslink:190381
entrez gene/locuslink:177431,entrez gene/locuslink:174464
entrez gene/locuslink:177431,entrez gene/locuslink:191687
entrez gene/locuslink:177732,entrez gene/locuslink:179737
entrez gene/locuslink:177732,entrez gene/locuslink:172948
entrez gene/locuslink:177732,entrez gene/locuslink:179051
entrez gene/locuslink:177415,entrez gene/locuslink:181480
entrez gene/locuslink:177415,entrez gene/locuslink:266820
entrez gene/locuslink:172174,entrez gene/locuslink:177736
entrez gene/locuslink:172174,entrez gene/locuslink:180653
entrez gene/locuslink:172174,entrez gene/locuslink:175638
entrez gene/locuslink:172174,entrez gene/locuslink:180947
entrez gene/locuslink:172174,entrez gene/locuslink:176453
entrez gene/locuslink:178771,entrez gene/locuslink:179138
entrez gene/locuslink:178771,entrez gene/locuslink:171934
entrez gene/locuslink:178771,entrez gene/locuslink:173321
entrez gene/locuslink:176164,entrez gene/locuslink:176613
entrez gene/locuslink:176164,entrez gene/locuslink:180781
entrez gene/locuslink:176164,entrez gene/locuslink:178711
entrez gene/locuslink:176164,entrez gene/locuslink:177921
entrez gene/locuslink:176164,entrez gene/locuslink:181577
entrez gene/locuslink:176161,entrez gene/locuslink:174254
entrez gene/locuslink:176161,entrez gene/locuslink:177467
entrez gene/locuslink:176161,entrez gene/locuslink:182401
entrez gene/locuslink:176161,entrez gene/locuslink:172134
